Episode 1/20000 => steps=196, reward=35106.301, coverage=81/81 (100.0%)
Episode 2/20000 => steps=49, reward=8934.233, coverage=81/81 (100.0%)
Episode 3/20000 => steps=18, reward=3547.284, coverage=81/81 (100.0%)
Episode 4/20000 => steps=81, reward=14780.596, coverage=81/81 (100.0%)
Episode 5/20000 => steps=82, reward=15067.729, coverage=81/81 (100.0%)
Episode 6/20000 => steps=29, reward=5603.096, coverage=81/81 (100.0%)
Episode 7/20000 => steps=25, reward=4540.151, coverage=81/81 (100.0%)
Episode 8/20000 => steps=102, reward=18531.889, coverage=81/81 (100.0%)
Episode 9/20000 => steps=24, reward=4134.164, coverage=81/81 (100.0%)
Episode 10/20000 => steps=20, reward=4236.141, coverage=81/81 (100.0%)
Episode 11/20000 => steps=16, reward=3067.892, coverage=81/81 (100.0%)
Episode 12/20000 => steps=16, reward=3133.474, coverage=81/81 (100.0%)
Episode 13/20000 => steps=20, reward=3599.247, coverage=81/81 (100.0%)
Episode 14/20000 => steps=56, reward=10464.681, coverage=81/81 (100.0%)
Episode 15/20000 => steps=76, reward=14203.057, coverage=81/81 (100.0%)
Episode 16/20000 => steps=26, reward=5189.341, coverage=81/81 (100.0%)
Episode 17/20000 => steps=30, reward=5739.227, coverage=81/81 (100.0%)
Episode 18/20000 => steps=19, reward=4005.675, coverage=81/81 (100.0%)
Episode 19/20000 => steps=22, reward=4091.798, coverage=81/81 (100.0%)
Episode 20/20000 => steps=52, reward=9486.840, coverage=81/81 (100.0%)
Episode 21/20000 => steps=62, reward=11221.551, coverage=81/81 (100.0%)
Episode 22/20000 => steps=31, reward=5786.010, coverage=81/81 (100.0%)
Episode 23/20000 => steps=22, reward=4264.551, coverage=81/81 (100.0%)
Episode 24/20000 => steps=21, reward=4105.021, coverage=81/81 (100.0%)
Episode 25/20000 => steps=149, reward=26846.955, coverage=81/81 (100.0%)
Episode 26/20000 => steps=15, reward=3415.065, coverage=81/81 (100.0%)
Episode 27/20000 => steps=22, reward=4536.701, coverage=81/81 (100.0%)
Episode 28/20000 => steps=21, reward=3888.867, coverage=81/81 (100.0%)
Episode 29/20000 => steps=102, reward=17310.404, coverage=81/81 (100.0%)
Episode 30/20000 => steps=64, reward=11528.373, coverage=81/81 (100.0%)
Episode 31/20000 => steps=30, reward=5988.500, coverage=81/81 (100.0%)
Episode 32/20000 => steps=53, reward=9988.459, coverage=81/81 (100.0%)
Episode 33/20000 => steps=24, reward=4791.326, coverage=81/81 (100.0%)
Episode 34/20000 => steps=12, reward=2667.091, coverage=81/81 (100.0%)
Episode 35/20000 => steps=15, reward=2868.648, coverage=81/81 (100.0%)
Episode 36/20000 => steps=20, reward=4000.761, coverage=81/81 (100.0%)
Episode 37/20000 => steps=70, reward=12838.110, coverage=81/81 (100.0%)
Episode 38/20000 => steps=20, reward=3925.118, coverage=81/81 (100.0%)
Episode 39/20000 => steps=44, reward=7804.009, coverage=81/81 (100.0%)
Episode 40/20000 => steps=11, reward=2387.123, coverage=81/81 (100.0%)
Episode 41/20000 => steps=19, reward=3558.497, coverage=81/81 (100.0%)
Episode 42/20000 => steps=63, reward=11398.375, coverage=81/81 (100.0%)
Episode 43/20000 => steps=91, reward=15685.112, coverage=81/81 (100.0%)
Episode 44/20000 => steps=39, reward=7629.164, coverage=81/81 (100.0%)
Episode 45/20000 => steps=20, reward=3738.876, coverage=81/81 (100.0%)
Episode 46/20000 => steps=52, reward=9700.165, coverage=81/81 (100.0%)
Episode 47/20000 => steps=77, reward=14283.226, coverage=81/81 (100.0%)
Episode 48/20000 => steps=96, reward=17423.223, coverage=81/81 (100.0%)
Episode 49/20000 => steps=113, reward=20534.529, coverage=81/81 (100.0%)
Episode 50/20000 => steps=18, reward=3853.210, coverage=81/81 (100.0%)
Episode 51/20000 => steps=20, reward=3737.834, coverage=81/81 (100.0%)
Episode 52/20000 => steps=30, reward=5112.021, coverage=81/81 (100.0%)
Episode 53/20000 => steps=18, reward=3625.489, coverage=81/81 (100.0%)
Episode 54/20000 => steps=76, reward=14238.172, coverage=81/81 (100.0%)
